permutation with time shift,react,from,to,corresponds to transition
"(1,0);(2,1)",mov,105,156,495
"(1,1);(2,0)",mov,105,122,496
"(1,0);(2,1)",stay,105,105,497
"(1,1);(2,0)",stay,105,105,498
"(1,0);(2,1)",mov,105,55,499
"(1,0);(2,1)",mov,105,56,500
"(1,0);(2,1)",mov,105,54,501
"(2,1);(1,0)",mov,92,140,502
"(1,1);(2,0)",mov,92,129,503
"(1,0);(2,1)",mov,92,88,504
"(1,0);(2,1)",stay,92,92,505
"(1,1);(2,0)",stay,92,92,506
"(1,0);(2,1)",mov,92,41,507
"(1,0);(2,1)",mov,92,42,508
"(2,1);(1,0)",mov,93,141,509
"(1,1);(2,0)",mov,93,127,510
"(1,0);(2,1)",mov,93,90,511
"(1,0);(2,1)",stay,93,93,512
"(1,1);(2,0)",stay,93,93,513
"(1,0);(2,1)",mov,93,44,514
"(1,0);(2,1)",mov,93,43,515
"(2,1);(1,0)",mov,94,115,516
"(1,1);(2,0)",mov,94,112,517
"(1,0);(2,1)",mov,94,64,518
"(1,0);(2,1)",stay,94,94,519
"(1,1);(2,0)",stay,94,94,520
"(1,0);(2,1)",mov,94,50,521
"(1,0);(2,1)",mov,94,51,522
"(2,1);(1,0)",mov,95,116,523
"(1,1);(2,0)",mov,95,110,524
"(1,0);(2,1)",mov,95,66,525
"(1,0);(2,1)",stay,95,95,526
"(1,1);(2,0)",stay,95,95,527
"(1,0);(2,1)",mov,95,48,528
"(1,0);(2,1)",mov,95,49,529
"(1,0);(2,1)",mov,96,39,530
"(2,0);(1,1)",mov,96,39,531
"(1,0);(2,1)",stay,96,96,532
"(2,0);(1,1)",stay,96,96,533
"(1,1);(2,0)",mov,87,164,534
"(1,0);(2,1)",mov,87,163,535
"(2,0);(1,1)",mov,87,130,536
"(1,0);(2,1)",mov,87,129,537
"(1,0);(2,1)",stay,87,87,538
"(1,1);(2,0)",stay,87,87,539
"(2,1);(1,0)",mov,87,86,540
"(1,1);(2,0)",mov,87,83,541
"(1,1);(2,0)",mov,87,41,542
"(1,1);(2,0)",mov,88,163,543
"(1,0);(2,3)",set2,88,146,544
"(1,0);(2,1)",mov,88,142,545
"(1,0);(2,1)",stay,88,88,546
"(1,1);(2,0)",stay,88,88,547
"(1,0);(2,1)",mov,88,90,548
"(1,0);(2,1)",mov,88,89,549
"(1,1);(2,0)",mov,89,162,550
"(1,0);(2,1)",mov,89,142,551
"(1,0);(2,1)",stay,89,89,552
"(1,1);(2,0)",stay,89,89,553
"(1,0);(2,1)",mov,89,90,554
"(1,0);(2,1)",mov,89,88,555
"(2,0);(1,1)",mov,90,161,556
"(1,0);(2,1)",mov,90,142,557
"(1,0);(2,1)",stay,90,90,558
"(1,1);(2,0)",stay,90,90,559
"(1,0);(2,1)",mov,90,88,560
"(1,0);(2,1)",mov,90,89,561
"(1,1);(2,0)",mov,91,157,562
"(1,0);(2,1)",mov,91,143,563
"(1,0);(2,1)",mov,91,144,564
"(1,0);(2,1)",mov,91,106,565
"(1,0);(2,1)",stay,91,91,566
"(1,1);(2,0)",stay,91,91,567
"(1,1);(2,0)",mov,82,161,568
"(1,0);(2,1)",mov,82,159,569
"(1,3);(2,0)",set2,82,155,570
"(1,0);(2,1)",mov,82,135,571
"(2,0);(1,1)",mov,82,127,572
"(2,1);(1,0)",mov,82,125,573
"(1,0);(2,1)",stay,82,82,574
"(1,1);(2,0)",stay,82,82,575
"(1,1);(2,0)",mov,82,84,576
"(2,1);(1,0)",mov,82,44,577
"(1,1);(2,0)",mov,83,164,578
"(2,1);(1,0)",mov,83,159,579
"(1,0);(2,1)",mov,83,137,580
"(2,0);(1,1)",mov,83,130,581
"(1,0);(2,1)",mov,83,126,582
"(1,0);(2,1)",stay,83,83,583
"(1,1);(2,0)",stay,83,83,584
"(1,1);(2,0)",mov,83,87,585
"(1,1);(2,0)",mov,84,161,586
"(2,1);(1,0)",mov,84,160,587
"(2,0);(1,1)",mov,84,127,588
"(1,0);(2,1)",mov,84,128,589
"(1,0);(2,1)",stay,84,84,590
"(1,1);(2,0)",stay,84,84,591
"(1,1);(2,0)",mov,84,82,592
"(2,1);(1,0)",mov,84,85,593
"(2,1);(1,0)",mov,84,43,594
"(1,1);(2,0)",mov,85,160,595
"(2,1);(1,0)",mov,85,158,596
"(1,0);(2,1)",mov,85,136,597
"(2,0);(1,1)",mov,85,128,598
"(1,0);(2,1)",mov,85,125,599
"(1,0);(2,1)",stay,85,85,600
"(1,1);(2,0)",stay,85,85,601
"(2,0);(1,1)",mov,85,84,602
"(2,0);(1,1)",mov,86,163,603
"(1,0);(2,1)",mov,86,158,604
"(1,0);(2,1)",mov,86,138,605
"(2,0);(1,1)",mov,86,129,606
"(2,1);(1,0)",mov,86,126,607
"(1,0);(2,1)",stay,86,86,608
"(1,1);(2,0)",stay,86,86,609
"(2,0);(1,1)",mov,86,87,610
"(2,1);(1,0)",mov,86,42,611
"(2,0);(1,1)",mov,77,153,612
"(1,0);(2,1)",mov,77,151,613
"(1,0);(2,1)",mov,77,133,614
"(2,0);(1,1)",mov,77,111,615
"(2,1);(1,0)",mov,77,108,616
"(1,0);(2,1)",stay,77,77,617
"(1,1);(2,0)",stay,77,77,618
"(2,0);(1,1)",mov,77,76,619
"(2,0);(1,2)",set1,78,157,620
"(1,1);(2,0)",mov,78,154,621
